bhk,price,price_fmt,locality,developer,project,area_sqft,possession,nearest_railway,nearest_hospital,nearest_market,city
1,4794000,47.9 Lac,Panvel,Jindal Builder,Jindal Air which is a 2 years old construction,,mar '27,Mansarovar Railway Station,New City Hospital,Mahalaxmi Mall,Navi Mumbai
3,26624000,2.66 Cr,Kharghar,Paradise Group,,,dec '29,Pethpada Metro Station|5 minutes,Dolphin Hospital,Prime Mall,Navi Mumbai
3,27500000,2.75 Cr,Kharghar,Paradise Group,,,dec '29,Pethpada Metro Station|5 minutes,Kharghar Medicity Hospital,More Super Market,Navi Mumbai
3,21750000,2.17 Cr,Sector 19 Kharghar,Bhagwati Group,a well-connected area of Sector 19 Kharghar,,dec '26,,,,Navi Mumbai
3,29680000,2.96 Cr,Nerul,Shree Gowardhan CoOperative Housing Society Limited,,,jun '28,,Shushrusha Heart Care Center & Multi Speciality Hospital,Bluestone Seawoods Grand Central Mall,Navi Mumbai
3,33331000,3.33 Cr,Nerul,Jalan Group,,,dec '27,,Terna Speciality Hospital & Research Centre,Jewel of Navi Mumbai,Navi Mumbai
2,19760000,1.97 Cr,Ulwe,Surekha Tukaram Dudhe,,,mar '29,Kharkopar Railway Station,Balaji Hospital,,Navi Mumbai
2,8554000,85.5 Lac,Kharghar,Dreams Developers,a well-connected area of Kharghar,,dec '31,Pethpada Metro Station|5 minutes,Aayush Hospital,More Super Market,Navi Mumbai
2,19844000,1.98 Cr,Airoli,Jewel Construction,,,dec '26,Airoli Metro Station|5 minutes,Navi Mumbai Hospital,Ripplez Mall,Navi Mumbai
4,71112000,7.11 Cr,Juinagar,Raheja Universal Pvt. Ltd.,Raheja Atlantis 1,,dec '31,,,,Navi Mumbai
2,18313000,1.83 Cr,Kharghar,Paradise Group,,,dec '29,Pethpada Metro Station|5 minutes,Medicity Hospital,Little World Mall,Navi Mumbai
3,29078000,2.90 Cr,Kharghar,Paradise Group,,,dec '29,Pethpada Metro Station|5 minutes,Trudiagno,Glomax Mall,Navi Mumbai
2,3783000,37.8 Lac,Khopoli,Unimont Realty,Khopoli is available for purchase at price of ₹37,,aug '27,Khopoli Railway Station,,Alaina City Plaza,Navi Mumbai
2,26900000,2.69 Cr,Airoli to buy or invest in Navi Mumbai city,Jewel Construction,Superior Exotica,,dec '26,Airoli Metro Station|5 minutes,Apple Hospital,Siddhivinayak Shopping Complex,Navi Mumbai
4,30568000,3.05 Cr,Panvel,Hiranandani Communities,The Arena At Hiranandani Fortune City,,dec '30,Panvel Junction,Shreyas Multi-Speciality Hospital,Little World,Navi Mumbai
2,24768000,2.47 Cr,Nerul,Escaso Ventures,,,dec '29,,Terna Speciality Hospital & Research Centre,Jewel of Navi Mumbai,Navi Mumbai
2,6097000,61 Lac,Kharghar,Today Prachar Developers LLP,,,,Pethpada Metro Station|5 minutes,Aayush Hospital,Zudio,Navi Mumbai
4,44295000,4.42 Cr,Juinagar,Raheja Universal Pvt. Ltd.,Raheja Solaris Iii,,dec '28,,,,Navi Mumbai
3,35100000,3.51 Cr,Nerul,Varsha Group,Nerul is available for purchase at price of ₹3,,dec '28,,Terna Speciality Hospital & Research Centre,Jewel of Navi Mumbai,Navi Mumbai
3,18400000,1.84 Cr,New Panvel to buy or invest in Navi Mumbai city,Delta Group,Delta Prestige,,dec '29,Khandeshwar Railway Station,,Little World,Navi Mumbai
2,7627000,76.3 Lac,Panvel,The Wadhwa Group,,,dec '26,Panvel Railway Station,Ashtavinayak Hospital,Satya Siddhi Market,Navi Mumbai
2,19000000,1.90 Cr,Juinagar,Raheja Universal Pvt. Ltd.,,,dec '29,,,,Navi Mumbai
4,76404000,7.64 Cr,Seawoods,Gami Group and NMS Group ,,,mar '31,Seawoods - Darave,Neuron and Nexus Care,More Supermarket,Navi Mumbai
2,11485000,1.14 Cr,Panvel,Hiranandani Group,,,Dec '30,Kalamboli Railway Station,New City Hospital,Acwe Mall (Best Buy),Navi Mumbai
2,14093000,1.40 Cr,Juinagar,Newfound Properties and Leasing Private Limited,,,dec '31,,,,Navi Mumbai
2,22952000,2.29 Cr,Vashi,Arihant Superstructures Ltd.,,,dec '28,Vashi Railway Station,MGM Hospital,Timezone Inorbit Mall Vashi,Navi Mumbai
2,5157000,51.6 Lac,Pushpak Nagar,Admire Infra,,,dec '28,,,,Navi Mumbai
1,6724000,67.2 Lac,Taloja,Today Group,,,mar '32,Metro Station Taloja|5 minutes,Ayesha Hospital,Glomax Mall,Navi Mumbai
2,26500000,2.65 Cr,Seawoods,L & T Realty,,,jan '27,Seawoods - Darave,Neuron and Nexus Care,BB-NAVI MUMBAI-SEAWOOD,Navi Mumbai
3,19456000,1.94 Cr,Panvel,Raj Group,,,ready to move,Kalamboli Railway Station,Prachin Healthcare Multi-speciality Hospital,Ambeka Minimarket,Navi Mumbai
3,16052000,1.60 Cr,Airoli,Proviso Group,,,dec '29,Airoli Metro Station|5 minutes,Padmavati Hospital,Ripplez Mall,Navi Mumbai
3,11516000,1.15 Cr,Panvel,Olive Builders & Developers Pvt. Ltd.,,,dec '28,Panvel Railway Station,Ashtavinayak Hospital,Little World,Navi Mumbai
2,19844000,1.98 Cr,Kharghar,Satyam Ventures Private Limited,Kharghar is available for purchase at price of ₹1,,dec '28,Pethpada Metro Station|5 minutes,Rajgobind Nursing Home,Glomax Mall,Navi Mumbai
4,67306000,6.73 Cr,Nerul,Balaji Corporation,Balaji Delta Palm Beach,,jun '31,,Shushrusha Heart Care Center & Multi Speciality Hospital,Bluestone Seawoods Grand Central Mall,Navi Mumbai
2,16173000,1.61 Cr,Panvel,Paradise Group,,,dec '29,Panvel Railway Station,Ashtavinayak Hospital,Mahalaxmi Mall,Navi Mumbai
3,42670000,4.26 Cr,Seawoods,Gami Group and NMS Group ,,,mar '31,Seawoods Darawe Railway Station,Neuron and Nexus Care,More Supermarket,Navi Mumbai
